buy_date,exchange,ticker,entry_price,currency
2026-05-14,NSE,BHARTIARTL,1883.50,INR
2026-05-14,NSE,ICICIBANK,1246.45,INR
2026-05-14,ETR,SAP,141.22,EUR
2026-05-15,NASDAQ,CSCO,118.14,USD
2026-05-18,NYSE,ANET,141.97,USD
2026-05-18,NYSE,XOM,157.92,USD
2026-05-18,NYSE,RTX,171.18,USD
2026-05-18,NYSE,LMT,522.50,USD
2026-05-18,NYSE,CVX,195.17,USD
2026-05-18,NASDAQ,MSFT,418.05,USD
2026-05-18,NSE,HDFCBANK,768.55,INR
2026-05-18,NSE,RELIANCE,1335.20,INR
2026-05-18,NASDAQ,ASML,1460.39,USD
2026-05-18,NYSEARCA,GLD,418.07,USD
2026-05-18,NYSE,TSM,393.26,USD
2026-05-19,NYSE,WMT,133.34,USD
2026-05-19,NYSE,JPM,300.73,USD
2026-05-19,EPA,AIR,172.46,EUR
2026-05-19,ETR,AIR,173.02,EUR
2026-05-19,ETR,XAD5,369.36,EUR
2026-05-21,ETR,RHM,1227.60,EUR
2026-05-21,NYSE,VALE,16.35,USD
2026-05-21,NYSE,ZIM,25.16,USD
2026-05-25,NASDAQ,NVDA,215.33,USD
2026-05-25,NASDAQ,AVGO,414.14,USD
2026-05-25,NYSE,NOC,555.58,USD
2026-05-25,NYSE,BHP,84.60,USD
2026-05-25,NYSE,INFY,12.67,USD
2026-05-26,NASDAQ,GOOGL,382.97,USD
2026-05-26,NASDAQ,AMZN,266.32,USD
2026-05-26,NASDAQ,META,610.26,USD
2026-05-26,NASDAQ,AAPL,308.82,USD
2026-05-26,NASDAQ,AMD,467.51,USD
2026-05-26,NYSE,GD,342.89,USD
2026-06-01,LON,HSBA,1392.20,GBp
2026-06-01,TYO,8306,3023,JPY
2026-06-01,TYO,291A,1751,JPY
2026-06-02,KRX,003550,140000,KRW
2026-06-02,KRX,079550,726000,KRW
2026-06-02,KRX,454910,166700,KRW
2026-06-02,KOSDAQ,394280,15140,KRW
2026-06-03,NASDAQ,TSLA,423.70,USD
2026-06-03,LON,SHEL,3270,GBp
2026-06-03,NYSEARCA,INDA,47.36,USD
2026-06-03,NYSEARCA,EWG,42.77,USD
2026-06-03,NSE,TCS,2245,INR
2026-06-03,TYO,8002,4910,JPY
2026-06-03,TYO,5445,1799,JPY
2026-06-03,TYO,3675,573,JPY
2026-06-03,TYO,6877,6280,JPY
2026-06-03,KRX,078930,76300,KRW
2026-06-03,KRX,001800,26950,KRW
2026-06-03,KRX,003240,919000,KRW
2026-06-03,KRX,004890,37050,KRW
2026-06-03,KRX,004990,26100,KRW
2026-06-03,KRX,009310,1065,KRW
2026-06-03,KRX,016880,2015,KRW
2026-06-04,ETR,SIE,276.20,EUR
2026-06-04,TYO,7203,2881,JPY
2026-06-04,TSE,CNQ,66,CAD
2026-06-04,NYSE,LHX,302.19,USD
